Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
Toyota,Land Cruiser Sahara,SAHARA V8,2011,Automatic,Diesel,SUV / 4x4,"4,500 cc","160,632 km","Rs 62,550,000",No,
Suzuki,Swift,Japan,2008,Automatic,Petrol,Hatchback,"1,300 cc","162,000 km","Rs 5,550,000",Yes,
Land Rover,Range Rover Sport,HSE,2017,Automatic,Diesel,SUV / 4x4,"2,000 cc","72,000 km","Rs 49,500,000",Yes,
Mitsubishi,eK Wagon,,1996,Automatic,Diesel,Station wagon,"1,998 cc","250,000 km","Rs 1,000,000",Yes,
Toyota,Hilux,2008,2008,Automatic,Diesel,,"3,000 cc","156,000 km","Rs 12,250,000",No,
Land Rover,Range Rover Evoque,P300e Dynamic HSE,2024,Automatic,Hybrid,SUV / 4x4,"1,500 cc","8,000 km","Rs 42,000,000",No,
Honda,Accord,LX,2004,Automatic,Petrol,Saloon,"2,350 cc","152,000 km","Rs 4,950,000",Yes,
Honda,Vezel,2015,2015,Automatic,Hybrid,Saloon,"1,500 cc","111,000 km","Rs 10,200,000",No,
Toyota,Premio,G,2014,Automatic,Petrol,Saloon,"1,500 cc","123,558 km","Rs 13,750,000",No,
Hyundai,Santa Fe,2007,2007,Automatic,Petrol,SUV / 4x4,"2,600 cc","145,000 km","Rs 6,250,000",Yes,
Toyota,Vitz,Safety,2016,Automatic,Petrol,Hatchback,"1,000 cc","130,000 km","Rs 7,900,000",Yes,
Mercedes Benz,C200,AMG Premium Plus,2019,Automatic,Petrol,Saloon,"1,500 cc","53,000 km","Rs 29,750,000",Yes,
Ssang Yong,Tivoli,2017,2017,Tiptronic,Diesel,SUV / 4x4,"1,600 cc","41,000 km","Rs 8,800,000",Yes,
Toyota,Passo,XL SAFETY PUSH START,2023,Automatic,Petrol,Hatchback,"1,000 cc","20,000 km","Rs 9,890,000",Yes,
Honda,CRV,VTi L7,2023,Tiptronic,Petrol,Station wagon,"1,500 cc","15,000 km","Rs 30,000,000",Yes,
Toyota,Avanza,,2011,Automatic,Petrol,,"1,495 cc","85,526 km","Rs 8,300,000",Yes,
Mitsubishi,Attrage,Mitsubishi,2014,Automatic,Petrol,Saloon,"1,200 cc","114,000 km","Rs 7,200,000",Yes,
Toyota,Hilux,2015,2015,Manual,Diesel,SUV / 4x4,"2,800 cc","100,000 km","Rs 17,000,000",Yes,
Audi,A4,S Line,2018,Automatic,Petrol,Saloon,"1,400 cc","56,000 km","Rs 23,500,000",Yes,
Toyota,Yaris,CROSS B/TOP 4WAY CAM,2025,Automatic,Hybrid,Hatchback,"1,490 cc",0 km,"Rs 19,990,000",Yes,
Toyota,Camry,Toyota Camry Luxury,2010,Automatic,Petrol,Saloon,"2,400 cc","88,420 km","Rs 9,995,000",Yes,
Toyota,Roomy,GT Custom  Turbo,2023,Automatic,Petrol,MPV,"1,000 cc","16,000 km","Rs 12,000,000",No,
Porsche,Cayenne,S-e hybrid,2015,Tiptronic,Petrol,SUV / 4x4,"3,000 cc","93,000 km","Rs 42,000,000",Yes,
Toyota,Hilux,GR SPORT BRAND NEW,2024,Automatic,Diesel,SUV / 4x4,"2,800 cc",0 km,"Rs 31,490,000",Yes,
Suzuki,Wagon R Stingray,Suzuki,2018,Automatic,Hybrid,Saloon,650 cc,"47,000 km","Rs 7,390,000",Yes,
Suzuki,Alto,,2015,Manual,Petrol,Hatchback,800 cc,"162,500 km","Rs 3,650,000",Yes,
Honda,CRV,Japan Masterpiece,2019,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","50,000 km","Rs 22,500,000",Yes,
Land Rover,Defender,2L STRAIGHT PETROL,2023,Automatic,Petrol,SUV / 4x4,"2,000 cc",20 km,"Rs 79,000,000",Yes,
Toyota,Land Cruiser Prado,LC250 VX B/New,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 66,000,000",Yes,
Toyota,Vitz,,2015,Automatic,Petrol,,990 cc,"116,900 km","Rs 7,600,000",Yes,
Mitsubishi,Xpander,GLS,2019,Automatic,Petrol,SUV / 4x4,"1,500 cc","37,000 km","Rs 14,900,000",Yes,
Toyota,Land Cruiser Prado,TRJ 150 TX Limited,2010,Automatic,Petrol,SUV / 4x4,"2,700 cc","176,000 km","Rs 28,400,000",Yes,
Honda,Civic,,1986,Manual,Petrol,,"1,500 cc",0 km,"Rs 800,000",Yes,
Ssang Yong,Korando,,2014,Automatic,Diesel,SUV / 4x4,"2,000 cc","110,000 km","Rs 7,650,000",Yes,
BMW,520d,M Sport HighSpec,2013,Automatic,Diesel,Saloon,"2,000 cc","146,000 km","Rs 24,200,000",No,
Lexus,Other Model,LX600 FULLY LOADED,2024,Tiptronic,Petrol,SUV / 4x4,"3,500 cc",0 km,"Rs 135,000,000",No,
Toyota,Belta,G grade,2009,Automatic,Petrol,Saloon,"1,300 cc","208,861 km","Rs 6,700,000",No,
Daihatsu,Tanto,Custom X,2024,Automatic,Petrol,,660 cc,0 km,"Rs 9,500,000",No,
Mercedes Benz,E200,AMG Premium Plus,2023,Automatic,Petrol,Saloon,"1,490 cc","1,500 km","Rs 48,900,000",Yes,
Toyota,Corolla,141,2008,Automatic,Petrol,Saloon,"1,600 cc","154,000 km","Rs 7,650,000",Yes,
Toyota,Land Cruiser Sahara,ZX LC300 2024,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc","4,000 km","Rs 99,500,000",Yes,
Kia,Sorento,1-14 Diesal,2014,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","149,000 km","Rs 15,950,000",Yes,
Toyota,Allion,G,2007,Automatic,Petrol,Saloon,"1,490 cc","181,000 km","Rs 8,100,000",No,
Audi,A1,Sports TFSI,2017,Automatic,Petrol,Hatchback,"1,000 cc","90,000 km","Rs 9,850,000",Yes,
Nissan,X-Trail,T31 Diesal Highest,2013,Automatic,Diesel,SUV / 4x4,"2,000 cc","198,000 km","Rs 12,950,000",Yes,
Toyota,Hilux,Rocco Revolution 2.8,2018,Automatic,Diesel,SUV / 4x4,3 cc,"108,500 km","Rs 23,500,000",Yes,
Toyota,Yaris,Cross L Pre 2 Tone,2025,Automatic,Hybrid,SUV / 4x4,"1,498 cc",0 km,"Rs 22,500,000",Yes,
Land Rover,Other Model,Jaecoo J7 Phev,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",50 km,"Rs 23,500,000",No,
Maruti Suzuki,WagonR,,2003,Manual,Petrol,,"1,061 cc","110,000 km","Rs 2,650,000",No,
Toyota,Land Cruiser Sahara,ZX LC300 BELT 2024,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc","1,400 km","Rs 99,500,000",Yes,
Honda,CRV,Masterpiece 5Seat,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","49,000 km","Rs 22,775,000",No,
Land Rover,Other model,Jaecoo J6 EV,2025,Automatic,Electric,SUV / 4x4,135 cc,50 km,"Rs 26,500,000",No,
Suzuki,Alto,carol Japan unregist,2023,Automatic,Petrol,Hatchback,660 cc,"4,000 km","Rs 7,200,000",Yes,
Micro,BAIC,D20 hatchback,2018,Automatic,Petrol,Hatchback,"1,500 cc","16,268 km","Rs 5,160,000",Yes,
MG,ZS,Full Option,2019,Automatic,Petrol,SUV / 4x4,"1,000 cc","20,000 km","Rs 10,475,000",Yes,
Nissan,X-Trail,"1st owner 134,000 km",2007,Automatic,Petrol,SUV / 4x4,"2,000 cc","134,000 km","Rs 7,675,000",Yes,
Toyota,Vitz,RS Turbo Manual,2000,Manual,Petrol,Hatchback,"1,500 cc","137,000 km","Rs 5,675,000",No,
BMW,318i,M-Sport Limited Ed,2019,Tiptronic,Petrol,Saloon,"1,500 cc","35,000 km","Rs 27,990,000",Yes,
Honda,CRV,RM2 stafford maintai,2012,Automatic,Petrol,SUV / 4x4,"2,000 cc","168,000 km","Rs 11,950,000",Yes,
Daihatsu,Mira,Mira safety edition,2023,Automatic,Petrol,Hatchback,660 cc,"3,452 km","Rs 6,950,000",Yes,
Land Rover,Discovery,Discovery 4 S,2015,Automatic,Diesel,SUV / 4x4,"3,000 cc","58,000 km","Rs 42,500,000",Yes,
Suzuki,Alto,Hybrid X,2023,Automatic,Hybrid,Hatchback,660 cc,"5,000 km","Rs 8,990,000",No,
Daihatsu,Mira,Mira,2023,Automatic,Petrol,Hatchback,660 cc,"3,500 km","Rs 6,950,000",Yes,
Suzuki,Alto,HYBRID X,2024,Automatic,Hybrid,Hatchback,660 cc,"2,000 km","Rs 8,590,000",No,
Honda,Vezel,Z Sounds 4Way,2024,Automatic,Hybrid,SUV / 4x4,"1,500 cc","11,500 km","Rs 22,400,000",Yes,
Honda,Vezel,Z Grade Brand New,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",0 km,"Rs 23,000,000",Yes,
Mercedes Benz,GLB,180 7 Seat,2022,Automatic,Petrol,SUV / 4x4,"1,330 cc","35,000 km","Rs 35,900,000",Yes,
Toyota,Land Cruiser Sahara,LC300 ZX 2024 BELT,2024,Automatic,Petrol,SUV / 4x4,"3,499 cc",35 km,"Rs 103,000,000",Yes,
Suzuki,Alto,Hybrid X,2025,Automatic,Hybrid,Hatchback,660 cc,0 km,"Rs 8,790,000",No,
Toyota,CHR,2018,2018,Automatic,Petrol,SUV / 4x4,"1,200 cc","62,000 km","Rs 15,500,000",Yes,
Suzuki,Alto,L UPGRADE PACKAGE,2024,Automatic,Petrol,Hatchback,660 cc,"3,000 km","Rs 8,290,000",No,
Suzuki,Alto,L Upgrade Package,2023,Automatic,Petrol,Hatchback,660 cc,"6,000 km","Rs 7,790,000",No,
Suzuki,Alto,L UPGRADE PACKAGE,2024,Automatic,Petrol,Hatchback,660 cc,10 km,"Rs 7,990,000",No,
Honda,Civic,FD1,2007,Automatic,Petrol,Coupé/Sports,"1,800 cc","97,500 km","Rs 7,750,000",Yes,
Suzuki,Wagon R FZ,Safety,2018,Automatic,Petrol,Hatchback,650 cc,"111,000 km","Rs 6,600,000",Yes,
Suzuki,Baleno,,2016,Automatic,Petrol,Hatchback,"1,000 cc","63,500 km","Rs 8,300,000",Yes,
Toyota,Prius,2nd Generation,2009,Automatic,Hybrid,Saloon,"1,500 cc","181,000 km","Rs 7,050,000",Yes,
Toyota,Axio,,2007,Automatic,Petrol,Saloon,"1,500 cc","200,000 km","Rs 7,250,000",Yes,
Toyota,Land Cruiser Prado,prado150,2017,Automatic,Petrol,SUV / 4x4,"2,700 cc","111,943 km","Rs 49,550,000",No,
Toyota,Aqua,2015 X-Urban,2015,Automatic,Hybrid,Hatchback,"1,500 cc","101,810 km","Rs 9,500,000",Yes,
Toyota,Land Cruiser Prado,TXL Limited 2023,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","14,000 km","Rs 56,850,000",Yes,
Mitsubishi,Lancer,Lancer box,1983,Manual,Petrol,Saloon,"1,400 cc","256,855 km","Rs 990,000",Yes,
Honda,Civic,FD1,2007,Automatic,Petrol,Coupé/Sports,"1,800 cc","97,500 km","Rs 7,750,000",Yes,
Suzuki,Wagon R FZ,Safety,2018,Automatic,Petrol,Hatchback,650 cc,"111,000 km","Rs 6,600,000",Yes,
Toyota,Aqua,2015 X-Urban,2015,Automatic,Hybrid,Hatchback,"1,500 cc","101,810 km","Rs 9,500,000",Yes,
Mercedes Benz,E200,Facelift-Premium +,2023,Automatic,Petrol,Saloon,"1,500 cc","2,500 km","Rs 48,250,000",Yes,
Toyota,Land Cruiser Sahara,LC300 ZX,2023,Automatic,Petrol,SUV / 4x4,"3,500 cc","1,000 km","Rs 98,000,000",Yes,
Toyota,Land Cruiser Prado,TXL,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","19,000 km","Rs 51,000,000",No,
Toyota,Land Cruiser Prado,TXL,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","19,000 km","Rs 51,900,000",No,
Honda,CRV,,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","68,420 km","Rs 19,800,000",Yes,
Suzuki,Celerio,vxi Auto,2015,Automatic,Petrol,Hatchback,"1,000 cc","118,000 km","Rs 4,990,000",Yes,
Renault,KWID,RXT Air bag,2017,Manual,Petrol,Hatchback,800 cc,"110,000 km","Rs 3,425,000",Yes,
Ssang Yong,Rexton,2009,2009,Automatic,Diesel,SUV / 4x4,3 cc,"179,000 km","Rs 10,500,000",Yes,
Mercedes Benz,E200,Cabriolet,2023,Tiptronic,Petrol,Convertible,"1,500 cc","4,000 km","Rs 59,500,000",No,
Land Rover,Defender,110 P300e S Auto 4WD,2024,Automatic,Hybrid,SUV / 4x4,"2,000 cc","5,600 km","Rs 69,500,000",No,
Toyota,Rush,S Grade,2019,Automatic,Petrol,Station wagon,"1,500 cc","62,000 km","Rs 15,500,000",Yes,
Bajaj,Qute,,2019,Manual,Petrol,Saloon,216 cc,"19,050 km","Rs 1,390,000",Yes,
Daihatsu,Mira,Daihatsu,2019,Automatic,Petrol,Hatchback,650 cc,"45,000 km","Rs 6,875,000",Yes,
Ssang Yong,Actyon,2007,2007,Automatic,Diesel,SUV / 4x4,"2,000 cc","87,000 km","Rs 5,500,000",Yes,
Hyundai,Grand i10,Grand i10,2025,Tiptronic,Petrol,Hatchback,"1,197 cc",0 km,"Rs 9,440,000",No,
Toyota,Hilux,Vigo,2007,Manual,Diesel,SUV / 4x4,"2,500 cc","262,150 km","Rs 10,600,000",Yes,
Toyota,Land Cruiser Sahara,ZX FULLY LOADED,2023,Tiptronic,Petrol,Saloon,"3,500 cc",0 km,"Rs 98,500,000",No,
Mazda,6,GT 2500cc,2014,Automatic,Petrol,Saloon,"2,500 cc","43,000 km","Rs 18,000,000",Yes,
Toyota,Vitz,2019,2019,Automatic,Petrol,Saloon,"1,000 cc","84,000 km","Rs 9,500,000",No,
Land Rover,Defender,110 XS Puma 2.4,2012,Manual,Diesel,SUV / 4x4,"2,400 cc","74,000 km","Rs 27,550,000",Yes,
Honda,Vezel,RS Sensing,2017,Automatic,Hybrid,SUV / 4x4,"1,500 cc","128,000 km","Rs 13,000,000",Yes,
Nissan,X-Trail,Nissan,2015,Automatic,Petrol,,"1,990 cc","154,000 km","Rs 9,500,000",Yes,
Toyota,Vitz,RS Turbo Manual,2000,Manual,Petrol,Hatchback,"1,500 cc","137,000 km","Rs 5,675,000",No,
Other brand,Other model,Jaecoo J7 Phev,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",50 km,"Rs 21,500,000",No,
Honda,Vezel,HEV Z PLAY,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",116 km,"Rs 21,000,000",No,
Hyundai,Santa Fe,Calligraphy model,2025,Tiptronic,Petrol,SUV / 4x4,"1,600 cc",0 km,"Rs 35,500,000",No,
Toyota,Corolla,2,1989,Manual,Diesel,Hatchback,"1,450 cc","180,000 km","Rs 1,675,000",Yes,
BMW,740i,M Sport,2014,Automatic,Hybrid,,"2,979 cc","41,000 km","Rs 37,500,000",Yes,
Toyota,Land Cruiser Sahara,V8,2008,Automatic,Petrol,SUV / 4x4,"4,600 cc","131,000 km","Rs 45,000,000",Yes,
Land Rover,Discovery,,2019,Automatic,Diesel,SUV / 4x4,"2,000 cc","49,000 km","Rs 45,000,000",Yes,
Lexus,Other Model,LX500D LUXURY,2024,Automatic,Diesel,SUV / 4x4,"3,300 cc",0 km,"Rs 139,500,000",No,
Suzuki,Wagon R FZ,,2018,Automatic,Hybrid,Hatchback,650 cc,"75,346 km","Rs 7,195,000",No,
Mercedes Benz,GLA 200,AMG  Line,2019,Automatic,Petrol,SUV / 4x4,"1,595 cc","61,000 km","Rs 27,000,000",Yes,
Peugeot,Other Model,207,2007,Automatic,Petrol,,"1,598 cc","97,600 km","Rs 5,550,000",Yes,
Mitsubishi,Montero,Pajero,2012,Automatic,Diesel,SUV / 4x4,"2,800 cc","142,000 km","Rs 23,750,000",Yes,
Toyota,Land Cruiser Sahara,V8 ice pack,2011,Automatic,Diesel,SUV / 4x4,"4,600 cc","92,000 km","Rs 61,000,000",Yes,
Nissan,Tiida,,2012,Automatic,Petrol,Saloon,"1,598 cc","130,740 km","Rs 6,350,000",No,
Suzuki,XBee,Xbee MV,2023,Automatic,Petrol,Station wagon,"1,000 cc","5,000 km","Rs 10,975,000",No,
Suzuki,Swift,,2007,Automatic,Petrol,Hatchback,"1,240 cc","134,315 km","Rs 5,690,000",No,
Mitsubishi,Lancer,,1973,Manual,Petrol,,"1,400 cc","148,000 km","Rs 600,000",No,
Toyota,Prius,,2013,Automatic,Hybrid,Saloon,"1,800 cc","122,000 km","Rs 11,100,000",Yes,
Suzuki,Spacia,,2015,Automatic,Petrol,Hatchback,650 cc,"74,689 km","Rs 6,990,000",No,
Micro,Rexton,,2015,Automatic,Diesel,SUV / 4x4,"2,000 cc","87,000 km","Rs 13,000,000",Yes,
Suzuki,Wagon R FZ,,2017,Automatic,Hybrid,Hatchback,650 cc,"86,806 km","Rs 7,090,000",No,
Audi,Q2,Full Option Auto,2017,Automatic,Petrol,SUV / 4x4,990 cc,"102,000 km","Rs 17,190,000",Yes,
Mercedes Benz,E220,,2014,Automatic,Diesel,Saloon,"2,143 cc","144,350 km","Rs 22,250,000",Yes,
Suzuki,Maruti,Maruti Vagon VXI,2005,Manual,Petrol,Hatchback,"1,100 cc","65,000 km","Rs 2,550,000",Yes,
Toyota,Hilux,Toyota,2010,Manual,Diesel,SUV / 4x4,"3,000 cc","156,100 km","Rs 8,350,000",Yes,
Toyota,Vitz,,2015,Automatic,Petrol,,990 cc,"116,900 km","Rs 7,600,000",Yes,
BMW,520d,,2013,Automatic,Diesel,Saloon,"2,000 cc","104,500 km","Rs 22,300,000",Yes,
Suzuki,Wagon R FZ,,2014,Automatic,Petrol,Hatchback,650 cc,"130,675 km","Rs 5,675,000",No,
Honda,CRV,Master Piece,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","37,000 km","Rs 23,800,000",Yes,
Mercedes Benz,E250,E250,2016,Automatic,Petrol,Convertible,"2,000 cc","9,000 km","Rs 45,000,000",Yes,
Kia,Sportage,4WD,2011,Automatic,Petrol,SUV / 4x4,"2,000 cc","130,000 km","Rs 9,990,000",Yes,
Honda,Fit,,2014,Automatic,Hybrid,Hatchback,"1,490 cc","112,361 km","Rs 8,990,000",No,
Toyota,Yaris,Cross Z Grade,2025,Automatic,Petrol,SUV / 4x4,"1,500 cc",0 km,"Rs 18,900,000",No,
Suzuki,Wagon R Stingray,,2014,Automatic,Hybrid,Hatchback,650 cc,"86,138 km","Rs 6,090,000",No,
Toyota,Carina,2000CC Diesel,1997,Automatic,Diesel,Saloon,"1,970 cc","328,334 km","Rs 4,190,000",Yes,
